Date,Close,Country,Ticker,Close,Close,Close,Close,Close
,^GSPC,,,^GDAXI,000001.SS,^FTSE,^GSPTSE,^N225
2020-01-02,3257.85009765625,United States,^GSPC,,,,,
2020-01-03,3234.85009765625,United States,^GSPC,,,,,
2020-01-06,3246.280029296875,United States,^GSPC,,,,,
2020-01-07,3237.179931640625,United States,^GSPC,,,,,
2020-01-08,3253.050048828125,United States,^GSPC,,,,,
2020-01-09,3274.699951171875,United States,^GSPC,,,,,
2020-01-10,3265.35009765625,United States,^GSPC,,,,,
2020-01-13,3288.1298828125,United States,^GSPC,,,,,
2020-01-14,3283.14990234375,United States,^GSPC,,,,,
2020-01-15,3289.2900390625,United States,^GSPC,,,,,
2020-01-16,3316.81005859375,United States,^GSPC,,,,,
2020-01-17,3329.6201171875,United States,^GSPC,,,,,
2020-01-21,3320.7900390625,United States,^GSPC,,,,,
2020-01-22,3321.75,United States,^GSPC,,,,,
2020-01-23,3325.5400390625,United States,^GSPC,,,,,
2020-01-24,3295.469970703125,United States,^GSPC,,,,,
2020-01-27,3243.6298828125,United States,^GSPC,,,,,
2020-01-28,3276.239990234375,United States,^GSPC,,,,,
2020-01-29,3273.39990234375,United States,^GSPC,,,,,
2020-01-30,3283.659912109375,United States,^GSPC,,,,,
2020-01-31,3225.52001953125,United States,^GSPC,,,,,
2020-02-03,3248.919921875,United States,^GSPC,,,,,
2020-02-04,3297.590087890625,United States,^GSPC,,,,,
2020-02-05,3334.68994140625,United States,^GSPC,,,,,
2020-02-06,3345.780029296875,United States,^GSPC,,,,,
2020-02-07,3327.7099609375,United States,^GSPC,,,,,
2020-02-10,3352.090087890625,United States,^GSPC,,,,,
2020-02-11,3357.75,United States,^GSPC,,,,,
2020-02-12,3379.449951171875,United States,^GSPC,,,,,
2020-02-13,3373.93994140625,United States,^GSPC,,,,,
2020-02-14,3380.159912109375,United States,^GSPC,,,,,
2020-02-18,3370.2900390625,United States,^GSPC,,,,,
2020-02-19,3386.14990234375,United States,^GSPC,,,,,
2020-02-20,3373.22998046875,United States,^GSPC,,,,,
