Close,Country,Ticker,Date,Close,Close,Close,Close,Close
^GSPC,,,,^GDAXI,000001.SS,^FTSE,^GSPTSE,^N225
3257.85009765625,United States,^GSPC,2020-01-02,,,,,
3234.85009765625,United States,^GSPC,2020-01-03,,,,,
3246.280029296875,United States,^GSPC,2020-01-06,,,,,
3237.179931640625,United States,^GSPC,2020-01-07,,,,,
3253.050048828125,United States,^GSPC,2020-01-08,,,,,
3274.699951171875,United States,^GSPC,2020-01-09,,,,,
3265.35009765625,United States,^GSPC,2020-01-10,,,,,
3288.1298828125,United States,^GSPC,2020-01-13,,,,,
3283.14990234375,United States,^GSPC,2020-01-14,,,,,
3289.2900390625,United States,^GSPC,2020-01-15,,,,,
3316.81005859375,United States,^GSPC,2020-01-16,,,,,
3329.6201171875,United States,^GSPC,2020-01-17,,,,,
3320.7900390625,United States,^GSPC,2020-01-21,,,,,
3321.75,United States,^GSPC,2020-01-22,,,,,
3325.5400390625,United States,^GSPC,2020-01-23,,,,,
3295.469970703125,United States,^GSPC,2020-01-24,,,,,
3243.6298828125,United States,^GSPC,2020-01-27,,,,,
3276.239990234375,United States,^GSPC,2020-01-28,,,,,
3273.39990234375,United States,^GSPC,2020-01-29,,,,,
3283.659912109375,United States,^GSPC,2020-01-30,,,,,
3225.52001953125,United States,^GSPC,2020-01-31,,,,,
3248.919921875,United States,^GSPC,2020-02-03,,,,,
3297.590087890625,United States,^GSPC,2020-02-04,,,,,
3334.68994140625,United States,^GSPC,2020-02-05,,,,,
3345.780029296875,United States,^GSPC,2020-02-06,,,,,
3327.7099609375,United States,^GSPC,2020-02-07,,,,,
3352.090087890625,United States,^GSPC,2020-02-10,,,,,
3357.75,United States,^GSPC,2020-02-11,,,,,
3379.449951171875,United States,^GSPC,2020-02-12,,,,,
3373.93994140625,United States,^GSPC,2020-02-13,,,,,
3380.159912109375,United States,^GSPC,2020-02-14,,,,,
3370.2900390625,United States,^GSPC,2020-02-18,,,,,
3386.14990234375,United States,^GSPC,2020-02-19,,,,,
3373.22998046875,United States,^GSPC,2020-02-20,,,,,
3337.75,United States,^GSPC,2020-02-21,,,,,
3225.889892578125,United States,^GSPC,2020-02-24,,,,,
3128.2099609375,United States,^GSPC,2020-02-25,,,,,
3116.389892578125,United States,^GSPC,2020-02-26,,,,,
2978.760009765625,United States,^GSPC,2020-02-27,,,,,
2954.219970703125,United States,^GSPC,2020-02-28,,,,,
3090.22998046875,United States,^GSPC,2020-03-02,,,,,
3003.3701171875,United States,^GSPC,2020-03-03,,,,,
3130.1201171875,United States,^GSPC,2020-03-04,,,,,
3023.93994140625,United States,^GSPC,2020-03-05,,,,,
2972.3701171875,United States,^GSPC,2020-03-06,,,,,
2746.56005859375,United States,^GSPC,2020-03-09,,,,,
2882.22998046875,United States,^GSPC,2020-03-10,,,,,
